school_code,school_name,district,address,grade_class,class_regular,class_special,class_total,research_topic,research_year,research_total_years,ib_stage,future_year,future_total_years,latitude,longitude
7251086,대구파동초등학교,동부,대구광역시 수성구 파동로51길 34 ,다,18,1,19, ,,, ,4,4,35.82470393,128.6077229
7251301,대구팔공초등학교,동부,대구광역시 동구 연경지묘로 150 ,다,21,1,22, ,,,월드,, ,35.94698096,128.6262377
7261083,대구팔달초등학교,서부,대구광역시 북구 매천로2길 19-6 ,다,10,1,11, ,,,관심,1,4,35.89794577,128.5447037
7261053,대구평리초등학교,서부,대구광역시 서구 국채보상로53길 6-5 ,가,40,1,41,학교체육활성화,1,2, ,, ,35.87239568,128.5613416
7281112,대구포산초등학교,달성,대구광역시 달성군 현풍읍 테크노북로 80 ,다,38,2,40, ,,, ,, ,35.69417709,128.4531329
7281029,대구하빈초등학교,달성,대구광역시 달성군 하빈면 하빈로 391-1 ,라,6,1,7, ,,, ,5,5,35.90161077,128.4421117
7261088,대구학남초등학교,서부,대구광역시 북구 학정동로 23 ,가,21,1,22, ,,, ,, ,35.94598887,128.5658934
7271077,대구학산초등학교,남부,대구광역시 달서구 월성로 76,다,18,2,20, ,,, ,1,4,35.83110936,128.5260827
7261093,대구학정초등학교,서부,대구광역시 북구 학남로 32,가,18,1,19, ,,, ,, ,35.94822595,128.5689765
7271215,대구한샘초등학교,남부,대구광역시 달서구 월배로11길 42 ,가,42,1,43, ,,, ,, ,35.81696001,128.5185333
7271235,대구한솔초등학교,남부,대구광역시 달서구 조암남로 172-13 ,가,31,1,32,교실수업개선,2,2, ,, ,35.81660141,128.5155867
7271258,대구한실초등학교,남부,대구광역시 달서구 한실로6길 108,나,26,1,27, ,,, ,, ,35.79831931,128.5285639
7261092,대구함지초등학교,서부,대구광역시 북구 동천로 33,나,13,0,13, ,,, ,1,4,35.93472457,128.557736
